utility	t0	t1	t2	t3	t4	t5	t6	t7	t8	t9
0.363983158	8	5	6	4	2	1	5	0	3	4
0.23701397	6	4	7	6	0	2	4	0	6	1
0.314286096	1	2	0	5	2	9	8	9	3	3
0.245148097	5	7	1	9	0	6	5	1	9	2
0.86949371	7	6	8	9	6	9	7	8	4	3
0.2497748	0	3	9	2	0	10	10	6	10	3
0.255000318	7	3	1	1	6	9	0	5	2	4
0.328561426	10	3	8	8	0	5	2	2	3	8
0.609951952	5	10	5	3	5	6	6	9	0	4
0.594324447	3	2	6	10	10	7	1	8	8	7
0.272715695	2	5	10	5	1	3	0	2	9	2
0.265320679	1	0	7	1	8	4	6	2	9	8
0.385158284	7	4	10	1	9	8	2	1	5	10
0.415954541	5	1	1	8	3	6	5	1	9	3
0.441218424	9	8	7	1	10	7	9	3	1	4
0.48158628	2	6	2	7	1	6	8	5	3	9
0.290289833	9	0	3	9	8	7	10	1	1	8
0.453466324	8	2	10	6	9	7	5	9	5	0
0.489863813	6	7	2	9	3	1	2	6	3	5
0.553192328	3	7	2	7	4	4	7	3	2	1
0.486159804	6	7	6	9	0	9	1	5	6	4
0.626912641	6	3	9	6	7	3	4	2	10	8
0.488789324	0	6	3	2	5	4	5	8	2	8
0.475908323	1	9	9	6	7	9	4	7	8	0
0.372224798	8	1	8	0	4	7	10	10	5	10
0.575461283	8	9	10	3	4	10	1	7	5	9
0.552398571	8	3	6	8	5	6	10	3	5	1
0.760663819	3	3	9	4	6	8	2	3	6	6
0.581529616	7	6	10	1	10	7	5	4	2	8
0.381493877	0	7	9	6	1	9	2	10	7	5
0.488486913	2	4	0	8	10	5	6	7	6	8
0.512604878	0	7	10	4	7	3	9	5	4	5
0.224763859	8	4	5	0	10	10	9	2	1	1
0.47365817	6	2	7	4	10	2	2	6	5	1
0.486424837	2	9	10	8	6	0	3	6	6	4
0.627436136	4	7	4	8	10	4	3	6	1	8
0.176334123	9	0	7	3	4	9	2	1	9	0
0.368457085	3	0	1	4	7	9	5	2	5	4
0.604140284	3	6	7	8	5	5	3	4	6	1
0.351255362	4	8	1	2	10	1	2	9	5	8
0.680943198	4	5	4	1	4	7	7	6	9	7
0.418302709	8	3	10	3	2	0	8	5	10	5
0.303946984	0	5	10	9	3	10	5	0	2	5
0.195920609	3	2	9	3	5	0	3	0	3	0
0.298322539	9	6	0	3	4	9	10	2	4	1
0.311270449	10	6	1	9	0	6	5	3	4	3
0.52871672	1	8	6	9	3	4	2	4	2	3
0.3056202	0	9	8	3	9	6	3	10	5	0
0.246979959	0	3	6	9	0	7	1	3	5	6
0.517194222	6	8	6	6	8	3	3	10	9	0
0.629043094	9	4	7	6	2	3	6	8	2	7
0.18123573	10	0	1	0	6	1	9	9	8	5
0.644562877	3	3	10	3	3	8	5	6	6	2
0.624983607	7	5	2	9	7	5	2	10	8	3
0.200564803	6	7	10	2	7	0	4	9	0	1
0.423250481	7	5	1	1	2	9	4	6	5	10
0.254987423	2	6	10	7	0	0	9	3	4	8
0.717461818	5	8	9	5	8	10	5	5	6	2
0.239480779	10	7	9	1	9	3	5	2	0	2
0.381469718	7	0	8	1	3	7	6	3	3	3
0.556587292	4	8	10	4	7	0	6	5	9	5
0.474688515	3	7	8	7	2	4	6	0	10	6
0.445965714	10	7	1	8	10	6	7	5	0	9
0.926756455	5	9	5	8	7	6	3	9	9	5
0.357852653	1	5	1	10	8	3	6	1	9	3
0.694003815	5	8	4	9	8	10	5	3	10	3
0.475198912	5	8	7	10	2	2	6	1	6	3
0.806464577	6	5	9	6	7	4	10	5	3	4
0.362653517	0	8	0	5	6	1	10	7	6	5
0.361302603	2	4	8	2	7	6	6	0	7	1
0.847326518	7	10	6	6	6	7	6	6	7	2
0.43183396	7	3	4	6	3	1	3	0	8	6
0.631493837	7	4	4	7	2	5	2	1	4	2
0.394913421	6	1	3	10	5	5	9	5	0	9
0.36057547	5	8	2	2	7	10	2	8	2	0
0.31213739	7	9	9	0	7	0	0	6	7	9
0.306356735	9	9	0	10	10	2	1	4	7	2
0.387059344	1	5	9	2	1	8	4	9	9	3
0.428865262	1	10	5	9	10	2	3	9	6	1
0.18729249	1	10	7	0	3	4	8	0	6	3
0.582193089	6	3	4	2	10	8	4	9	3	2
0.387848858	4	0	4	5	3	5	1	6	6	10
0.554110568	4	7	3	10	3	6	4	3	1	8
0.225237842	4	8	6	1	1	3	5	0	10	9
0.799157241	4	9	9	7	8	7	6	8	3	10
0.334787671	6	5	1	9	0	4	5	9	1	7
0.355558473	4	1	1	7	8	8	1	6	2	4
0.535480796	8	7	3	1	2	6	9	9	8	3
0.188645233	1	0	4	10	3	9	0	4	8	7
0.467551582	2	2	7	5	1	6	8	10	2	7
0.408525448	1	6	5	1	2	10	9	9	5	10
0.710035299	9	4	8	2	3	9	8	10	8	3
0.329817796	6	7	9	7	9	1	0	7	5	0
0.555019007	6	7	10	7	2	1	9	5	8	4
0.448221321	4	1	6	4	2	5	0	3	3	2
0.439860795	10	1	2	2	5	8	4	3	2	9
0.347772668	0	4	1	7	6	3	9	4	1	6
0.227248795	1	10	1	0	8	10	10	4	6	2
0.541779103	9	4	9	4	1	3	2	10	3	3
0.558532234	10	6	4	0	4	8	3	7	5	8
0.457600831	2	0	7	8	8	3	7	4	4	4
0.68820499	7	7	10	2	6	2	4	6	5	8
0.306195195	9	2	10	5	5	7	9	0	1	3
0.264214051	2	10	5	1	2	4	9	0	3	5
0.106968466	2	0	7	5	8	2	0	1	0	3
0.183289799	10	3	10	4	10	0	0	0	9	3
0.377860439	3	6	6	10	1	3	10	5	0	5
0.584499574	6	4	4	10	6	6	3	1	5	8
0.273918437	8	3	9	5	7	7	2	0	3	0
0.358248868	3	8	7	2	10	7	2	6	0	3
0.293661296	9	0	10	6	9	1	5	9	0	7
0.124972727	1	4	10	10	2	8	0	0	5	1
0.417935329	10	5	3	2	3	4	7	8	0	10
0.378496458	8	0	10	9	3	6	10	3	2	4
0.264956139	0	2	3	7	3	9	6	0	8	6
0.724663501	7	3	5	8	3	10	2	3	5	3
0.291676426	3	0	3	5	10	10	6	9	7	1
0.436255445	4	1	10	7	10	1	7	5	9	6
0.245488435	10	0	1	6	3	3	6	9	1	5
0.272243838	3	7	2	10	7	3	1	1	5	0
0.164567337	0	0	1	10	4	5	2	5	9	3
0.298138693	5	0	1	5	10	7	10	8	7	2
0.793723447	4	4	8	7	10	7	2	6	4	5
0.630586918	10	5	3	2	2	2	5	5	7	4
0.327766731	4	0	2	3	2	2	10	9	5	6
0.71858357	7	9	7	5	10	9	6	6	10	1
0.312633739	7	6	7	10	1	5	0	1	7	3
0.587801861	4	5	3	9	1	9	7	4	7	6
0.435784514	1	5	4	4	7	8	10	7	1	2
0.732830073	5	3	9	7	4	5	2	4	5	10
0.181858632	0	3	7	6	0	8	4	0	2	6
0.661617972	10	10	2	2	5	7	7	7	4	6
0.439838383	1	5	5	8	6	0	7	3	2	6
0.451535903	9	10	6	0	3	3	9	5	5	7
0.335561747	5	1	6	9	10	6	2	10	6	0
0.544006243	1	7	2	9	6	8	5	5	2	9
0.581148481	1	3	6	6	2	6	5	9	9	9
0.534454476	4	7	8	4	2	7	0	8	10	8
0.555822415	4	5	4	2	8	1	7	5	10	4
0.222154834	4	2	10	1	6	1	0	2	10	1
0.619612551	5	6	1	5	3	4	3	9	9	7
0.293624824	0	4	7	0	9	8	6	4	2	9
0.359810801	7	3	1	3	8	5	0	7	9	3
0.711085205	8	3	5	4	7	10	9	9	7	10
0.34398401	10	10	5	8	7	9	4	0	4	0
0.237617558	0	4	10	2	4	6	1	9	0	6
0.438349417	8	10	1	6	7	1	9	10	1	4
0.337244874	7	3	1	10	9	0	6	4	5	10
0.42756807	2	10	8	2	8	8	7	1	1	8
0.547062819	4	10	7	8	10	9	10	2	6	1
0.168991213	0	10	10	1	7	0	7	3	2	6
0.639171103	5	10	3	10	6	10	8	10	2	6
0.646086482	8	9	8	7	1	10	5	3	7	7
0.239576843	6	8	9	5	0	4	2	2	0	5
0.682255826	3	8	6	9	10	8	4	1	7	9
0.306161091	9	7	6	2	6	6	0	4	0	2
0.479720443	7	4	4	4	5	0	8	7	10	2
0.622480993	0	5	9	9	10	4	4	8	6	5
0.210902551	2	0	5	8	2	1	5	8	1	1
0.400447401	7	1	10	4	5	4	0	9	3	6
0.45070672	6	0	4	6	10	7	10	10	4	2
0.727598293	9	9	8	5	9	6	9	0	6	6
0.473806242	1	9	2	1	8	3	7	9	6	7
0.259584708	8	5	7	2	4	10	0	0	3	2
0.442002218	2	8	1	10	10	4	2	10	9	3
0.583177649	9	7	6	8	7	3	6	1	5	2
0.297269508	3	6	9	2	3	0	9	5	3	1
0.419445207	1	2	9	8	8	8	1	9	2	2
0.425008434	3	4	7	0	7	8	2	5	7	10
0.158287623	8	2	0	0	3	10	1	5	6	6
0.561298609	4	5	2	8	2	8	6	3	9	3
0.639267128	3	10	6	3	7	10	8	6	2	7
0.243404186	5	5	0	9	10	1	8	4	1	1
0.838043212	9	7	5	4	5	4	5	4	3	8
0.328771661	10	10	9	0	6	4	3	0	9	8
0.645299819	9	6	3	9	9	9	2	10	2	7
0.162782392	0	1	2	10	0	2	8	3	7	10
0.53050092	3	3	4	3	2	9	6	8	9	1
0.436868963	6	2	2	7	8	9	1	4	2	3
0.33082195	4	6	0	3	2	8	0	6	8	7
0.335616274	6	6	0	5	1	2	6	2	2	9
0.332455631	1	9	6	2	6	6	9	3	7	0
0.466793179	6	6	3	7	0	3	1	3	6	4
0.326171605	3	8	10	4	2	10	0	7	10	2
0.26455721	2	8	10	6	2	4	4	9	0	1
0.85228891	6	4	7	3	4	3	5	2	5	4
0.552055962	6	9	8	1	9	5	9	2	4	4
0.351073174	10	8	0	1	7	8	4	6	1	7
0.667205344	7	5	7	2	8	2	6	3	10	7
0.619315012	8	1	4	4	10	7	6	4	10	8
0.644476381	7	5	4	3	5	9	8	6	1	7
0.467357009	10	1	2	3	2	5	5	5	2	7
0.255706689	2	0	5	10	9	7	6	0	3	9
0.406370722	2	9	2	9	9	3	5	0	3	6
0.272511544	0	6	5	0	3	3	8	3	8	2
0.295441026	1	4	6	9	1	2	0	5	7	6
0.175666025	8	10	2	0	4	9	10	2	4	0
0.179366781	0	8	2	1	1	8	7	0	8	5
0.13280158	0	0	1	2	9	4	1	7	1	7
0.42780932	10	8	3	1	3	2	2	5	4	8
0.373040157	9	5	3	10	0	6	1	10	9	9
0.476877738	2	0	5	3	2	2	7	5	4	2
0.223949994	2	8	8	10	4	0	8	1	1	2
0.268060602	10	1	4	3	4	10	7	1	0	4
0.279870037	3	2	9	9	1	3	6	0	7	2
0.579567291	0	10	9	7	4	8	6	4	7	10
0.167133118	9	1	0	6	4	4	7	8	1	0
0.415892249	6	0	7	10	2	7	8	3	6	9
0.333407936	9	0	4	4	2	2	9	10	8	10
0.182661175	3	7	8	2	0	10	8	1	0	10
0.434645189	7	4	4	9	1	5	9	2	1	9
0.288965146	8	3	0	1	2	3	8	10	5	7
0.481542874	9	5	1	1	2	5	4	8	4	6
0.260875236	8	10	4	9	4	0	2	8	0	2
0.261205168	8	8	4	6	5	10	1	0	0	7
0.166256227	2	1	8	0	1	8	7	8	2	0
0.549508775	4	10	9	1	3	8	5	7	5	10
0.594523291	7	3	4	8	5	8	8	0	7	7
0.399899471	0	8	8	4	8	7	7	7	2	0
0.139834097	0	3	0	3	1	7	0	8	10	8
0.356505784	6	5	1	1	5	10	2	2	5	10
0.318957188	2	9	7	10	1	6	7	6	0	3
0.802923321	9	4	8	3	6	9	4	4	8	5
0.350720586	2	2	6	6	6	0	1	8	5	4
0.827647649	8	4	6	3	7	7	4	7	5	9
0.43093985	4	2	3	7	7	0	5	10	5	4
0.591967142	6	4	9	2	9	7	2	5	10	3
0.134430747	2	4	3	0	0	3	0	6	10	6
